Position(bp)  Rate(cM/Mb)    Map(cM)
      150118     1.134623   0.000000
      154675     1.129628   0.005170
      154753     1.136545   0.005259
      168567     1.586575   0.020959
      168822     1.985777   0.021363
      169922     3.559686   0.023548
      172611     5.232795   0.033120
      172881     5.256222   0.034533
      176827     5.241851   0.055274
      177767     5.227712   0.060201
      202664     4.793997   0.190355
      205383     4.792419   0.203390
      206504     4.669372   0.208763
      208386     4.587339   0.217550
      208434     4.468688   0.217770
      219978     4.270654   0.269357
      221431     6.011466   0.275562
      285850     3.404216   0.662815
      287573     2.495113   0.668680
      290475     2.466252   0.675921
      291839     2.454695   0.679285
      294017     2.450934   0.684631
      294018     2.448836   0.684634
      295132     2.425417   0.687362
      297283     1.759834   0.692579
      298440     0.332998   0.694615
      302139     0.323675   0.695847
      302533     0.323285   0.695974
      302966     0.319195   0.696114
      308565     0.319317   0.697902
      310897     0.938350   0.698646
      311316     1.086834   0.699039
      311671     1.261059   0.699425
      312029     1.123890   0.699877
      313626     0.615963   0.701672
      313771     0.476223   0.701761
      316699     0.742155   0.703155
      316853     1.111371   0.703270
      317312     1.152144   0.703780
      317771     1.545036   0.704308
      317834     2.217123   0.704406
      317940     2.616554   0.704641
      317966     2.730784   0.704709
      318164     2.738414   0.705250
      318180     2.492975   0.705293
      318227     3.008361   0.705411
      318325     3.660083   0.705705
      318438     3.657913   0.706119
      318819     3.656130   0.707513
      318955     3.661999   0.708010
      319306     2.195375   0.709295
      319481     1.223499   0.709679
      319530     1.044231   0.709739
      319606     0.913936   0.709819
      319637     0.795776   0.709847
      319832     0.598158   0.710002
      319852     0.444186   0.710014
      320203     0.434607   0.710170
      320580     0.429545   0.710334
      323713     1.122739   0.711680
      324662     2.586563   0.712745
      331033     3.646085   0.729224
      331641     3.735484   0.731441
      333275     2.575928   0.737545
      342775     2.623492   0.762016
      345795     2.623482   0.769939
      350051     6.018106   0.781105
      351651    10.480532   0.790734
      352764    10.660815   0.802398
      353979    10.708065   0.815351
      356282    10.737042   0.840012
      357243    10.754774   0.850330
      361126    10.772964   0.892091
      361199    10.781718   0.892877
      361628    10.782381   0.897503
      370446    10.782543   0.992582
      374959    10.785293   1.041243
      375343    10.785293   1.045385
      379653    10.784474   1.091870
      379870    10.789036   1.094210
      380020    10.789036   1.095828
      388839    10.793664   1.190977
      391747    10.793664   1.222365
      391928    10.796506   1.224318
      393803    10.808930   1.244562
      395987    10.812277   1.268168
      398974    10.794475   1.300465
      400108    10.579821   1.312706
      403395    10.247473   1.347482
      403881     9.768700   1.352462
      404445     9.674220   1.357971
      404868     3.821165   1.362064
      405007     3.820791   1.362595
      406672     3.823878   1.368956
      407015     3.827662   1.370268
      409482     3.829961   1.379711
      411996     3.837486   1.389339
      412394     3.844805   1.390867
      412431     3.844805   1.391009
      417739     8.909767   1.411417
      420296    13.128383   1.434199
      423554    13.586064   1.476972
      423589    13.856914   1.477447
      425232    13.856914   1.500214
      429366    13.856914   1.557499
      432026    13.857289   1.594358
      432464    13.857289   1.600427
      432708    13.857289   1.603809
      435263    13.857289   1.639214
      436362    13.857289   1.654443
      438820    13.857289   1.688504
      443567    13.857289   1.754285
      443771    13.857289   1.757112
      443911    13.854832   1.759052
      444084    13.253535   1.761449
      444601     4.251640   1.768301
      446803     4.255457   1.777663
      446926     4.261289   1.778186
      447383     4.282092   1.780134
      449065     4.346108   1.787336
      451142    14.025993   1.796363
      455883    14.027202   1.862860
      457102    14.048229   1.879959
      458034    14.074217   1.893052
      458133    14.074217   1.894446
      460908    14.076490   1.933502
      460959    14.075473   1.934220
      463631    14.073955   1.971829
      463983    14.069948   1.976783
      465770    14.069948   2.001926
      468364    14.044384   2.038424
      468417    14.043916   2.039168
      468501    14.007905   2.040348
      469006    13.956812   2.047422
      477422    13.824605   2.164882
      478748    13.609760   2.183214
      480645    13.454387   2.209031
      482028    13.454387   2.227639
      487046    11.454351   2.295153
      487803     8.705484   2.303824
      489911     8.475756   2.322175
      489934     8.255745   2.322370
      490460     8.259252   2.326713
      492571     8.074107   2.344148
      492847     8.073273   2.346376
      492888     7.958564   2.346707
      498635     7.849695   2.392445
      500359     7.359309   2.405978
      502588     7.821963   2.422382
      502626     8.348885   2.422679
      503271     8.348885   2.428064
      504354     8.377027   2.437106
      504625     8.404533   2.439376
      505742     8.407965   2.448764
      507542     8.102161   2.463898
      509436     8.102161   2.479244
      509591     5.257927   2.480500
      512531     5.580935   2.495958
      512557     5.931150   2.496103
      513369     7.536253   2.500919
      513590     9.969020   2.502585
      513921    12.551953   2.505884
      519500    12.507301   2.575912
      520151    12.502794   2.584054
      522827    12.549583   2.617512
      524464    12.547492   2.638055
      524871    12.540979   2.643162
      525951    12.476682   2.656706
      528518    12.377029   2.688734
      528573    12.268531   2.689415
      528914    12.197178   2.693598
      532467    11.782767   2.736935
      535813    11.791792   2.776360
      535913    10.651539   2.777539
      536061     9.757250   2.779116
      536122     8.904863   2.779711
      538059     8.864552   2.796959
      538103     8.865904   2.797350
      539091     8.863411   2.806109
      539270     8.860182   2.807696
      539358     8.904538   2.808475
      542277     8.987435   2.834468
      543406     9.127581   2.844614
      546480     9.260383   2.872673
      547183     9.373791   2.879183
      547306     9.596869   2.880336
      547963     9.862880   2.886641
      548481    10.052025   2.891750
      549324    10.024065   2.900224
      550567    10.158042   2.912684
      552190    10.121385   2.929170
      553070     3.330461   2.938077
      554983     3.205987   2.944448
      556921     3.210929   2.950661
      557856     3.212089   2.953663
      561068     3.197940   2.963981
      568056     5.675027   2.986328
      568246     9.019003   2.987406
      568604    12.859345   2.990635
      582185    13.045518   3.165278
      584836    13.207179   3.199861
      585090    13.207179   3.203216
      591926    13.337527   3.293500
      592944    13.473655   3.307078
      595212    13.562881   3.337636
      596245    13.643441   3.351647
      596647    13.714923   3.357131
      599294    13.750634   3.393435
      600026    13.781557   3.403500
      611400    13.804650   3.560252
      611759    13.821154   3.565207
      618503    13.838148   3.658417
      621170    13.849416   3.695324
      621800    13.856686   3.704049
      623063    13.858431   3.721550
      623242    13.861677   3.724030
      624457    13.862351   3.740872
      624603    13.862351   3.742896
      624689    13.862077   3.744088
      624871    13.862077   3.746611
      627853    13.801412   3.787948
      631613    13.801412   3.839841
      632829    12.843129   3.856624
      640090    12.677282   3.949878
      643862    11.242381   3.997697
      643885     9.570734   3.997955
      644440     8.281617   4.003267
      645966     7.366626   4.015905
      647019     7.367439   4.023662
      647551     7.367439   4.027581
      650221     7.321912   4.047252
      650983     7.324709   4.052831
      652379     7.326192   4.063057
      653664     7.420251   4.072471
      653717     7.624310   4.072864
      654434     8.095420   4.078331
      655386    13.188999   4.086038
      656040    17.383151   4.094663
      656057    21.573147   4.094959
      656152    21.657433   4.097008
      656231    21.713275   4.098719
      659425    19.967582   4.168071
      660336    17.242149   4.186262
      660345    14.881497   4.186417
      661352    14.528616   4.201403
      661381    13.520801   4.201824
      662609    11.238748   4.218428
      662679     3.241496   4.219214
      663209     2.671543   4.220932
      663279     2.307885   4.221119
      663441     1.968060   4.221493
      663455     1.731552   4.221521
      663547     1.694536   4.221680
      663783     1.691209   4.222080
      664483     1.694257   4.223264
      665198     7.494925   4.224475
      665405    10.908867   4.226027
      665594    11.401945   4.228088
      665675    11.435613   4.229012
      665684    11.446592   4.229115
      665748    11.446592   4.229847
      665819    11.446592   4.230660
      666217    11.463590   4.235216
      668171    11.188098   4.257616
      668279    10.852435   4.258824
      668316    10.438788   4.259226
      668454     9.927417   4.260666
      668583     9.164085   4.261947
      670479     8.220062   4.279322
      671188     8.109560   4.285150
      672818     7.400154   4.298369
      673451     7.197024   4.303053
      674451     6.656568   4.310250
      674488     6.140024   4.310496
      674502     5.753421   4.310582
      675224     5.710951   4.314736
      675251     5.511087   4.314890
      676670    11.467530   4.322710
      676682    12.205557   4.322848
      677310    14.757731   4.330513
      677349    15.466820   4.331089
      678578    15.982634   4.350097
      678649    16.467459   4.351232
      679521    16.481035   4.365592
      679597    16.481122   4.366844
      680909    16.530592   4.388468
      681332    17.176132   4.395460
      681431    17.213821   4.397161
      681764    17.217695   4.402893
      682009    17.009310   4.407111
      682100    12.886539   4.408659
      682116     1.836108   4.408865
      684457     2.957706   4.413163
      684696     4.538633   4.413870
      685056     8.327171   4.415504
      687136     8.299373   4.432825
      688399     3.791988   4.443307
      692303     3.783267   4.458111
      692512     3.773751   4.458901
      695620     3.752297   4.470630
      696683     3.752227   4.474619
      696749     7.629281   4.474867
      696995     8.515768   4.476743
      697088     5.834586   4.477535
      697135     0.548422   4.477810
      697436     0.518906   4.477975
      700307     0.511652   4.479464
      700593     0.510278   4.479611
      701936     0.503614   4.480296
      702213     0.241809   4.480436
      705467     0.243003   4.481222
      706137     0.268438   4.481385
      706167     0.298138   4.481393
      706239     0.328750   4.481415
      706291     0.342249   4.481432
      706432     0.407430   4.481480
      706720     2.390697   4.481597
      706787     4.429238   4.481758
      706936     7.480485   4.482418
      707050     3.371794   4.483270
      707404     1.281506   4.484464
      708327     1.340047   4.485647
      712523     1.340845   4.491270
      713060     1.344824   4.491990
      713300     1.353207   4.492312
      715476     3.712773   4.495257
      717742     2.670014   4.503670
      718123     1.732347   4.504687
      723535     2.202058   4.514063
      725756     2.288827   4.518954
      727566     2.324736   4.523096
      728370     2.405547   4.524966
      728449     2.498047   4.525156
      729692    16.312625   4.528261
      732714    17.698865   4.577557
      732742    17.698865   4.578053
      732913    19.343785   4.581079
      734851    19.524218   4.618568
      735448    19.562285   4.630224
      737011    19.562285   4.660800
      737628    19.562285   4.672869
      742052    19.562285   4.759413
      742117    19.562285   4.760685
      742548    19.562285   4.769116
      742723    19.562285   4.772539
      742745    19.562285   4.772970
      744677    19.562285   4.810764
      745464    19.562285   4.826160
      745714    19.562285   4.831050
      745858    19.554769   4.833867
      746462    11.713423   4.845678
      747125    11.673450   4.853444
      747249    11.665396   4.854892
      747364    11.663491   4.856233
      748053    15.312377   4.864269
      748722    15.548128   4.874513
      750176    15.548128   4.897120
      752149    13.828183   4.927797
      752269    11.837113   4.929456
      752635    11.240188   4.933789
      756147    11.830848   4.973264
      756542    11.830848   4.977937
      756750    11.830848   4.980398
      759557    12.072675   5.013607
      766479    12.072675   5.097174
      766859    12.072675   5.101762
      767577    12.060256   5.110430
      770203    11.958579   5.142100
      772984    11.954286   5.175357
      776103    11.952037   5.212643
      776769    11.952037   5.220603
      780594    11.903463   5.266319
      781031    11.827295   5.271521
      782630    10.568826   5.290433
      786727    10.006273   5.333733
      791404    10.945108   5.380533
      791473    12.152450   5.381288
      793985    12.434794   5.411815
      799181    12.450708   5.476426
      802741    12.468923   5.520751
      803950    12.487952   5.535825
      808912    12.496513   5.597791
      809703    12.498664   5.607675
      811957    12.504222   5.635847
      811962    12.511272   5.635910
      812596    12.511782   5.643842
      813559    12.511782   5.655891
      813568    12.511782   5.656004
      814334    12.669779   5.665588
      814694    12.695950   5.670149
      814723    12.719037   5.670517
      815165    12.719037   5.676139
      815242    12.719037   5.677118
      815289    12.720384   5.677716
