Position(bp)  Rate(cM/Mb)   Map(cM)
   154969038     0.673649  0.000000
   154969627     0.658886  0.000397
   154970447     0.653619  0.000937
   154972517     0.656683  0.002290
   154974015     0.660590  0.003274
   154976950     4.341994  0.005213
   154977448     5.723801  0.007375
   154978808     5.956272  0.015159
   154979339     6.029080  0.018322
   154982709     6.025702  0.038640
   154982739     6.025132  0.038821
   154983133     5.971920  0.041195
   154984317     5.963933  0.048265
   154984402     5.951775  0.048772
   154984651     5.954176  0.050254
   154985852     5.953909  0.057405
   154987147     5.951872  0.065116
   154987725     5.950368  0.068556
   154987881     5.950368  0.069484
   154990183     6.756279  0.083182
   154990627    10.156507  0.086182
   154992032    12.023480  0.100452
   154995314    19.425589  0.139913
   154996427    21.155665  0.161533
   154997107    21.155665  0.175919
   154997757    21.155665  0.189670
   154998312    21.081727  0.201412
   154998376    15.384583  0.202761
   154998442     5.387706  0.203776
   154999134     3.165503  0.207505
   154999705     1.836836  0.209312
   155001216     1.811689  0.212088
   155004280     1.812748  0.217639
   155004437     1.812233  0.217923
   155004636     1.811331  0.218284
   155006623     1.812857  0.221883
   155011926     1.784005  0.231497
   155012060     1.702356  0.231736
   155012639     1.190953  0.232721
   155014356     1.176152  0.234766
   155015601     1.176430  0.236230
   155015986     1.176651  0.236683
   155017649     3.621581  0.238640
   155017710     3.621403  0.238861
   155017869     6.645029  0.239437
   155018930     6.645081  0.246487
   155020278     6.644735  0.255445
   155020369     6.644397  0.256049
   155020391     6.644397  0.256196
   155020688     6.644212  0.258169
   155021163     6.625700  0.261325
   155021396     6.266442  0.262869
   155022057     2.143940  0.267011
   155022847     2.123884  0.268705
   155023274     2.055442  0.269612
   155024430     2.070892  0.271988
   155025184     2.066224  0.273549
   155025544     2.030448  0.274293
   155025670     1.931441  0.274549
   155026001     0.790149  0.275188
   155027035     0.764300  0.276005
   155028932     0.766777  0.277455
   155029108     0.769185  0.277590
   155030605     0.775412  0.278741
   155031129     0.778586  0.279148
   155031838     0.791456  0.279700
   155032321     0.793109  0.280082
   155032693     0.793743  0.280377
   155033604     0.747452  0.281100
   155033658     0.694958  0.281140
   155033885     0.633845  0.281298
   155036070     0.499503  0.282683
   155036679     0.368950  0.282987
   155037936     0.121436  0.283451
   155045646     0.121445  0.284387
   155045872     0.117413  0.284415
   155046643     0.115923  0.284505
   155046922     0.115077  0.284538
   155047247     0.115064  0.284575
   155049043     0.115102  0.284782
   155049269     0.114962  0.284808
   155058075     0.114953  0.285820
   155058093     0.114960  0.285822
   155058308     0.114961  0.285847
   155066052     0.114966  0.286737
   155071332     0.466858  0.287344
   155071400     0.879975  0.287376
   155071456     1.225382  0.287425
   155073731     1.255195  0.290213
   155073822     1.216079  0.290327
   155074360     1.197100  0.290981
   155075052     0.643507  0.291810
   155075626     0.540730  0.292179
   155075814     0.320813  0.292281
   155079034     0.319099  0.293314
   155079388     0.317374  0.293427
   155080830     0.316881  0.293885
   155081146     0.315865  0.293985
   155085824     0.316388  0.295462
   155086413     0.373616  0.295649
   155086475     0.373861  0.295672
   155086743     0.434331  0.295772
   155087341     0.481354  0.296032
   155091190     0.481984  0.297884
   155092794     0.762902  0.298658
   155093036     0.869985  0.298842
   155093113     0.844644  0.298909
   155093193     0.471673  0.298977
   155096106     0.472175  0.300351
   155096382     0.474408  0.300481
   155099895     0.493291  0.302148
   155100151     0.505175  0.302274
   155100197     0.512168  0.302297
   155101737     0.719779  0.303086
   155101861     1.163281  0.303175
   155103696     1.162826  0.305310
   155104608     1.164589  0.306370
   155104719     1.162703  0.306500
   155108755     1.137066  0.311192
   155108815     1.107674  0.311260
   155110332     1.107212  0.312941
   155113241     1.011880  0.316162
   155116853     0.998688  0.319817
   155119648     0.254729  0.322608
   155120950     0.241280  0.322940
   155121526     0.230669  0.323079
   155122783     0.219680  0.323368
   155123668     0.204007  0.323563
   155126059     0.256261  0.324051
   155127675     1.353471  0.324465
   155128309     0.227972  0.325323
   155129081     0.214719  0.325499
   155129332     0.174321  0.325553
   155129344     0.131122  0.325555
   155130863     0.084418  0.325754
   155130888     0.027626  0.325756
   155141985     0.027389  0.326063
   155148889     0.028038  0.326252
   155150020     0.031559  0.326284
   155150340     0.035787  0.326294
   155150393     0.040421  0.326296
   155150439     0.044788  0.326297
   155151086     0.058902  0.326326
   155152639     0.131699  0.326418
   155153822     0.174798  0.326574
   155155801     0.125496  0.326920
   155156672     0.069529  0.327029
   155158531     0.071383  0.327158
   155159703     0.091255  0.327242
   155169158     0.091854  0.328105
   155176144     0.105608  0.328746
   155177169     0.119333  0.328855
   155177486     0.135369  0.328892
   155181877     0.157719  0.329487
   155183030     0.177287  0.329669
   155184529     0.182515  0.329934
   155184866     0.178130  0.329996
   155189982     0.177203  0.330907
   155190793     0.155035  0.331051
   155193604     0.155035  0.331487
   155195900     0.141830  0.331843
   155208273     0.121109  0.333598
   155215434     0.129323  0.334465
   155215551     0.129305  0.334480
   155218417     0.168941  0.334851
   155218537     0.213225  0.334871
   155218843     0.190245  0.334936
   155219410     0.201803  0.335044
   155222332     0.725633  0.335634
   155223705     1.040817  0.336630
   155225523     1.040619  0.338522
   155226051     1.032129  0.339072
   155227607     1.037940  0.340678
   155228412     1.167016  0.341513
   155228572     1.169223  0.341700
   155229962     0.789443  0.343325
   155231616     0.780046  0.344631
   155234045     0.792730  0.346525
   155235078     0.000000  0.347344
