Position(bp)  Rate(cM/Mb)     Map(cM)
     2703391     5.227783    0.000000
     2703633     5.277780    0.001265
     2705462     5.121935    0.010918
     2706944     5.114891    0.018509
     2710840     2.778556    0.038437
     2711429     2.354973    0.040073
     2714756     2.346818    0.047908
     2715324     2.345089    0.049241
     2716346     2.721136    0.051638
     2719111     2.724817    0.059162
     2720702     2.842632    0.063497
     2724448     2.905217    0.074145
     2725299     2.935344    0.076618
     2725791     3.005689    0.078062
     2726248     3.072849    0.079435
     2726396     3.430927    0.079890
     2726647     4.496653    0.080751
     2729346     4.560633    0.092888
     2732096     4.528308    0.105430
     2735539     4.221278    0.121021
     2735741     3.656236    0.121873
     2744765     4.171829    0.154867
     2746555     4.158381    0.162335
     2750307     3.993187    0.177937
     2751700     3.579986    0.183500
     2752070     3.278242    0.184824
     2752707     2.694080    0.186912
     2755089     2.635005    0.193330
     2760060     3.565412    0.206428
     2767385     3.928361    0.232545
     2775998     5.023073    0.266380
     2777355     5.561234    0.273196
     2777560     5.585188    0.274336
     2778345     5.663952    0.278721
     2779570     5.673778    0.285659
     2783776     6.157227    0.309523
     2800295     6.156674    0.411234
     2802397     6.162425    0.424175
     2802568     6.164265    0.425229
     2802593     6.168131    0.425383
     2803069     6.171981    0.428319
     2803276     6.181901    0.429597
     2806589     6.183691    0.450078
     2821450     5.085815    0.541973
     2822253     5.151055    0.546057
     2825363     5.157386    0.562077
     2825403     5.161092    0.562283
     2825596     5.161514    0.563279
     2832742     5.419664    0.600164
     2833506     5.772002    0.604304
     2833661     5.764152    0.605199
     2834723     5.989204    0.611320
     2843818     5.984395    0.665792
     2845062     6.063258    0.673237
     2847017     6.076505    0.685091
     2847133     6.079024    0.685795
     2848508     6.007867    0.694154
     2849981     5.737899    0.703004
     2850529     5.220356    0.706148
     2850801     5.037294    0.707568
     2850901     4.905602    0.708072
     2857457     4.905232    0.740233
     2857813     4.891641    0.741979
     2867413     4.890467    0.788939
     2867650     4.890467    0.790098
     2871011     4.761769    0.806535
     2876502     4.727652    0.832682
     2880762     4.712571    0.852821
     2881471     4.711286    0.856163
     2894827     4.709304    0.919087
     2898186     4.709177    0.934905
     2901780     4.709177    0.951830
     2912728     4.707459    1.003386
     2914995     4.707459    1.014058
     2916735     4.707459    1.022249
     2920890     3.974782    1.041808
     2922066     3.971514    1.046483
     2928555     3.979256    1.072254
     2931544     3.214168    1.084148
     2934431     3.214168    1.093427
     2937170     1.199976    1.102231
     2937748     1.199976    1.102924
     2937992     0.530525    1.103217
     2938940     0.530525    1.103720
     2940127     0.529105    1.104350
     2940894     0.449984    1.104756
     2940908     0.451142    1.104762
     2942109     0.451142    1.105304
     2942986     0.449590    1.105699
     2944537     0.449590    1.106397
     2944799     0.488532    1.106514
     2951434     0.488532    1.109756
     2951931     0.505314    1.109999
     2953583     0.505314    1.110833
     2957282     0.505314    1.112703
     2958079     0.505314    1.113105
     2958300     0.546605    1.113217
     2959861     0.611789    1.114070
     2961699     0.611789    1.115195
     2962707     0.611789    1.115811
     2965166     0.611789    1.117316
     2966221     0.611789    1.117961
     2967006     0.614051    1.118441
     2967056     0.631213    1.118472
     2975405     0.617873    1.123742
     2975957     0.616961    1.124083
     2976106     0.613722    1.124175
     2985672     0.613676    1.130046
     2988409     0.613677    1.131726
     2995077     0.613677    1.135818
     2996162     0.613703    1.136483
     2996459     0.613703    1.136666
     2997069    23.102283    1.137040
     2999141    14.458189    1.184908
